	y
0	0.0
1	0.0
2	0.0069849246231155826
3	0.014221105527638191
4	0.019798994974874366
5	0.023015075376884422
6	0.03241206030150755
7	0.03517587939698494
8	0.03879396984924622
9	0.041155778894472375
10	0.04572864321608042
11	0.04909547738693467
12	0.41527638190954774
13	0.046984924623115584
14	0.04201005025125628
15	0.03944723618090452
16	0.030804020100502507
17	0.027839195979899492
18	0.022562814070351767
19	0.01703517587939697
20	0.014271356783919602
21	0.012060301507537681
22	0.007236180904522616
23	0.004321608040201007
24	0.0038190954773869358
25	0.0022110552763819078
26	0.002160804020100501
27	0.0018592964824120592
28	0.0014572864321608034
29	0.0007537688442211055
30	0.0004020100502512563
31	0.00035175879396984926
32	0.00010050251256281407
33	0.0001507537688442211
34	0.00010050251256281407
35	0.0001507537688442211
36	5.0251256281407036e-05
37	5.0251256281407036e-05
38	0.0001507537688442211
39	0.0
40	0.0
41	0.0
42	0.0
43	0.0
44	0.0
45	0.0
46	0.0
47	0.0
48	0.0
49	0.0
50	0.0
51	0.0
52	0.0
53	0.0
54	0.0
55	0.0
56	0.0
57	0.0
58	0.0
59	0.0
60	0.0
61	0.0
62	0.0
63	0.0
64	0.0
65	0.0
66	0.0
67	0.0
68	0.0
69	0.0
70	0.0
71	0.0
72	0.0
73	0.0
74	0.0
75	0.0
76	0.0
77	0.0
78	0.0
79	0.0
80	0.0
81	0.0
82	0.0
83	0.0
84	0.0
85	0.0
86	0.0
87	0.0
88	0.0
89	0.0
90	0.0
91	0.0
92	0.0
93	0.0
94	0.0
95	0.0
96	0.0
97	0.0
98	0.0
99	0.0
100	0.0
101	0.0
102	0.0
103	0.0
104	0.0
105	0.0
106	0.0
107	0.0
108	0.0
109	0.0
